id,location_region_name,location_city_name,location_district_name,last_refresh_time,price_usd,land_area,Land_for_garden,Land_for_construction,Industrial_land,Agricultural_land,Price_per_sotix
52891158,Ташкентская область,Назарбек,0,2025-02-13,21000.0,4,0,0,0,0,21000.0
51622740,Ташкентская область,Ташкент,Яккасарайский район,2024-05-13,260000.0,2,0,1,0,0,130000.0
56466143,Ташкентская область,Кибрай,0,2024-12-09,22000.0,7,0,1,0,0,22000.0
55098422,Ташкентская область,Кибрай,0,2024-11-20,44999.0,6,0,1,0,0,44999.0
50323632,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-12-14,15000.0,40,0,1,0,0,15000.0
54283143,Ташкентская область,Кибрай,0,2025-01-05,27500.0,8,0,1,0,0,27500.0
55776194,Ташкентская область,Паркент,0,2024-11-23,650000.0,150,0,1,0,0,4333.0
50900888,Ташкентская область,Искандар,0,2024-05-13,735000.0,1,0,1,0,0,735000.0
56741676,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2025-03-01,450000.0,600,0,1,0,0,750.0
56535796,Ташкентская область,Уртааул,0,2024-11-06,16000.0,3,0,1,0,0,16000.0
55409053,Ташкентская область,Ташкент,Юнусабадский район,2024-10-20,20000.0,8,0,1,0,0,20000.0
53877003,Ташкентская область,Ташкент,Яшнабадский район,2024-07-18,140000.0,3,0,1,0,0,46667.0
55982673,Ташкентская область,Янгибазар,0,2024-08-29,40000.0,6,0,0,1,0,40000.0
53913822,Ташкентская область,Ташкент,Шайхантахурский район,2024-08-31,137000.0,2,0,1,0,0,68500.0
55478802,Ташкентская область,Кибрай,0,2025-03-02,30000.0,3,0,1,0,0,30000.0
55400930,Ташкентская область,Ташкент,Сергелийский район,2025-03-28,33500.0,300,0,1,0,0,33500.0
48083712,Ташкентская область,Кибрай,0,2024-05-05,80000.0,8,0,1,0,0,10000.0
54840154,Ташкентская область,Ташкент,Юнусабадский район,2024-08-26,700000.0,5,0,1,0,0,140000.0
57187914,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-11-20,100000.0,3,0,0,0,0,33333.0
55483047,Ташкентская область,Ташкент,Юнусабадский район,2024-08-02,560000.0,7,0,1,0,0,80000.0
54197985,Ташкентская область,Ташкент,Юнусабадский район,2024-05-26,30000.0,400,0,1,0,0,30000.0
58265058,Ташкентская область,Дустабад,0,2025-02-01,15000.0,10,0,1,0,0,15000.0
56003608,Ташкентская область,Чирчик,0,2025-05-06,200000.0,24,0,1,0,0,8333.0
56036286,Ташкентская область,Ташкент,Шайхантахурский район,2024-09-02,87000.0,5,0,1,0,0,17400.0
54458415,Ташкентская область,Келес,0,2024-08-18,50000.0,3,0,0,0,0,50000.0
52910865,Ташкентская область,Янгиюль,0,2025-03-16,95000.0,7,0,0,0,0,13571.0
58070533,Ташкентская область,Ташкент,Яшнабадский район,2025-03-21,202000.0,8,0,1,0,0,25250.0
53049180,Ташкентская область,Газалкент,0,2024-12-24,5000.0,15,0,1,0,0,5000.0
58265996,Ташкентская область,Зангиата,0,2025-02-01,450000.0,150,0,1,0,0,3000.0
51357455,Ташкентская область,Ташкент,Мирабадский район,2024-06-12,218000.0,5,0,1,0,0,43600.0
59343595,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2025-04-12,35000.0,1,0,1,0,0,35000.0
53389295,Ташкентская область,Кибрай,0,2024-06-17,40000.0,8,0,0,0,0,40000.0
51450156,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-08-16,60000.0,40,0,1,0,0,60000.0
50806792,Ташкентская область,Янгиюль,0,2024-11-13,3000.0,35,0,0,0,0,3000.0
48145815,Ташкентская область,Ташкент,Бектемирский район,2024-05-08,25000.0,2,0,1,0,0,25000.0
47628748,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2025-02-02,50000.0,3,0,1,0,0,50000.0
53631628,Ташкентская область,Кибрай,0,2024-07-22,27000.0,10,0,1,0,0,27000.0
55116069,Ташкентская область,Эшангузар,0,2024-08-02,280000.0,10,0,1,0,0,28000.0
54300988,Ташкентская область,Ташкент,Сергелийский район,2024-07-01,43000.0,3,0,1,0,0,43000.0
